feature,method,importance
DTF_is_weekend,permutation,9500.188440171998
DTF_day_of_week,permutation,3171.761089082033
DTF_season_sin,permutation,2423.2629406071837
DTF_season_cos,permutation,63.98871327608829
rolling_mean_14d,permutation,2.0603188168101543
rolling_mean_30d,permutation,0.8956334409113994
rolling_min_7d,permutation,0.8109498244603955
rolling_max_7d,permutation,0.317523493551821
price_lag_7d,permutation,0.29101097622394356
rolling_mean_7d,permutation,0.1944141788762537
accommodates,permutation,0.15191267439840392
price_lag_14d,permutation,0.12760003914593804
price_lag_30d,permutation,0.10249847861866086
rolling_min_14d,permutation,0.08705185135042222
rolling_max_14d,permutation,0.08535856196579925
rolling_min_30d,permutation,0.053421864469966863
rolling_max_30d,permutation,0.0218862618878517
bathrooms,permutation,0.014876380819069815
longitude,permutation,0.009579162866734917
bedrooms,permutation,0.00836955183821353
has_hot_water_kettle,permutation,0.005791829426948944
has_cooking_basics,permutation,0.004588869774404331
has_tv,permutation,0.0037708709772902175
has_refrigerator,permutation,0.00267990695374736
has_dishes_and_silverware,permutation,0.0019301549089017246
has_heating,permutation,0.0018734416325604819
has_washer,permutation,0.0011201352178839997
has_shampoo,permutation,0.0010217148809100495
neighbourhood_cleansed_encoded,permutation,0.0009775050504838244
has_hair_dryer,permutation,0.0007644272864541879
has_dedicated_workspace,permutation,0.00027887470341540603
has_essentials,permutation,0.00021587614091873376
has_iron,permutation,0.00020247652514618686
latitude,permutation,0.00020178352056844816
has_smoke_alarm,permutation,0.00011583148545127431
has_hot_water,permutation,8.925557221936664e-05
has_cleaning_products,permutation,7.4052366944799e-05
has_microwave,permutation,6.897217182039173e-05
has_bed_linens,permutation,5.03912741362833e-05
has_wifi,permutation,4.0743075764395625e-05
has_hangers,permutation,2.7950292538008186e-05
has_kitchen,permutation,2.2254526041207702e-05
DTF_month,permutation,1.6225581113051835e-05
