feature,importance,split
latitude,0.013743721,0
longitude,0.016137889,0
accommodates,0.120541506,0
bedrooms,0.10492498,0
has_kitchen,0.0045557492,0
has_wifi,0.00655758,0
has_smoke_alarm,0.0047998684,0
has_essentials,0.008478512,0
has_hot_water,0.0064434283,0
has_hair_dryer,0.019516015,0
has_washer,0.01941073,0
has_iron,0.015295128,0
has_dishes_and_silverware,0.016210796,0
has_bed_linens,0.057074867,0
has_hangers,0.004012265,0
has_cooking_basics,0.09342764,0
has_refrigerator,0.028416228,0
has_heating,0.0088504935,0
has_tv,0.01745199,0
has_microwave,0.024415912,0
has_shampoo,0.0069462773,0
has_hot_water_kettle,0.1715279,0
has_dedicated_workspace,0.019658545,0
has_cleaning_products,0.013444676,0
bathrooms,0.098408505,0
neighbourhood_cleansed_encoded,0.012937175,0
DTF_day_of_week,0.0034037586,0
DTF_month,0.0044685453,0
DTF_is_weekend,0.003522302,0
DTF_season_sin,0.008246837,0
DTF_season_cos,0.003217328,0
distance_to_center,0.020601198,0
north_south,0.0129118,0
east_west,0.017525239,0
DTF_day_of_week_1,0.0,0
DTF_day_of_week_2,0.0,0
DTF_day_of_week_3,0.0,0
DTF_day_of_week_4,0.0,0
DTF_day_of_week_5,0.0,0
DTF_day_of_week_6,0.0,0
DTF_day_of_week_7,0.0,0
DTF_month_1,0.0,0
DTF_month_8,0.0,0
DTF_month_9,0.005081474,0
DTF_month_10,0.0039514764,0
DTF_month_11,1.6942317e-05,0
DTF_month_12,1.1044831e-05,0
DTF_is_weekend_0,0.0,0
DTF_is_weekend_1,0.0038537248,0
DTF_season_sin_-0.9999994220246924,0.0,0
DTF_season_sin_-0.9998699583618592,0.0,0
DTF_season_sin_-0.999832969770105,0.0,0
DTF_season_sin_-0.9994446170919858,0.0,0
DTF_season_sin_-0.9993706508539968,0.0,0
DTF_season_sin_-0.9987235240803972,0.0,0
DTF_season_sin_-0.9986126020839734,0.0,0
DTF_season_sin_-0.9977068927101168,0.0,0
DTF_season_sin_-0.9975590477788612,0.0,0
DTF_season_sin_-0.9963950238187232,0.0,0
DTF_season_sin_-0.9962102997023295,0.0,0
DTF_season_sin_-0.994788305609327,0.0,0
DTF_season_sin_-0.9945667569706336,0.0,0
DTF_season_sin_-0.9928872135356962,0.0,0
DTF_season_sin_-0.9926289059345096,0.0,0
