,count,frequency
Kitchen,57501,93.18542767315982
Wifi,55390,89.76436651217061
Essentials,53808,87.20059637636535
Smoke alarm,46372,75.14990438531099
Hair dryer,44145,71.54085502220205
Heating,44003,71.31073153340031
Iron,41739,67.64172041616699
Hangers,40650,65.87690013937056
Hot water,40491,65.61922665543058
Washer,38295,62.0604155187502
Dishes and silverware,37341,60.51437461511037
Cooking basics,35401,57.37043399345283
Refrigerator,34754,56.32191359025054
Bed linens,33905,54.94603442128805
Shampoo,33045,53.55232878488315
Microwave,27655,44.81735973811299
TV,27070,43.8693157877678
Oven,21807,35.34016141055975
Elevator,21645,35.07762616277185
Coffee maker,21463,34.7826791559978
Dedicated workspace,20919,33.901079311574236
Cleaning products,20045,32.484685443879044
Hot water kettle,18632,30.194794671506823
Dishwasher,18593,30.13159174148381
Wine glasses,16886,27.36524811201504
Shower gel,16663,27.003856999319353
Dining table,15941,25.83379249991897
Freezer,15596,25.274689657407706
Baking sheet,15496,25.11263086247691
Carbon monoxide alarm,15453,25.04294558065666
Extra pillows and blankets,15205,24.641039769228275
Toaster,15175,24.592422130749036
Long term stays allowed,14844,24.056007519528087
Stove,14050,22.769260687777525
Drying rack for clothing,13535,21.9346578938839
Self check-in,12795,20.735422811395974
Host greets you,12357,20.025605289599067
Body soap,12131,19.659352413055455
Dryer,11644,18.870126081742455
Coffee,11275,18.2721291284478
First aid kit,10369,16.803876446374744
Bathtub,10344,16.763361747642044
Luggage dropoff allowed,10275,16.65154117913979
Room-darkening shades,10070,16.319320649531647
Books and reading material,9401,15.23514731144459
Fire extinguisher,9231,14.959647360062231
Private entrance,8958,14.517226849901144
Laundromat nearby,8793,14.249829838265324
Paid parking off premises,8763,14.201212199786081
Lockbox,8616,13.962985771237804
TV with standard cable,8592,13.924091660454414
Portable fans,8306,13.460603506952323
Free washer  In unit,8154,13.214274138657506
Central heating,6777,10.982724532460377
Pets allowed,6748,10.935727481930444
Smoking allowed,6108,9.898551194373319
Ethernet connection,6064,9.827245324603766
Air conditioning,5642,9.143357209995786
Free dryer  In unit,5429,8.79817197679318
Clothing storage,5265,8.532395553106667
Paid street parking off premises,4845,7.851748614397304
Single level home,4842,7.84688685054938
Coffee maker: Nespresso,4694,7.607039834051794
Mini fridge,4552,7.376916345250057
Private patio or balcony,4469,7.2424075454574925
Breakfast,4338,7.030110524098143
Cleaning available during stay,4273,6.9247723073931216
Clothing storage: closet,4253,6.892360548406962
Crib,4004,6.488834149029269
Paid parking on premises,3682,5.967004829352089
Indoor fireplace,3634,5.889216607785305
Blender,3590,5.817910738015753
Pocket wifi,3573,5.790360742877516
Radiant heating,3412,5.529446083038927
City skyline view,3373,5.466243153015914
Pack n play/Travel crib,3357,5.440313745826987
Conditioner,3177,5.148607914951545
Patio or balcony,3004,4.868246199721258
Outdoor dining area,2920,4.7321168119793855
Outdoor furniture,2791,4.523060966518653
High chair,2556,4.142222798431271
Lock on bedroom door,2536,4.109811039445111
Childrens books and toys,2428,3.934787540919846
Courtyard view,2355,3.8164846206203613
Building staff,2352,3.811622856772437
Coffee maker: espresso machine,2340,3.7921758013807407
Security cameras on property,2190,3.5490876089845393
Stainless steel oven,1924,3.118011214468609
Childrens dinnerware,1901,3.0807376916345253
Free parking on premises,1836,2.9753994749295045
Board games,1832,2.9689171231322726
Babysitter recommendations,1781,2.886267137717564
Backyard,1755,2.8441318510355558
Rice maker,1715,2.7793083330632355
Free street parking,1701,2.7566201017729233
Piano,1553,2.5167730852753376
Induction stove,1501,2.4325025119113217
Clothing storage: wardrobe,1474,2.388746637280005
Clothing storage: walk-in closet,1457,2.361196642141769
Portable heater,1404,2.2753054808284445
Bread maker,1402,2.272064304929829
Safe,1369,2.2185849026026645
Paid parking garage off premises,1291,2.0921790425566393
Garden view,1235,2.0014261173953907
Sound system,1205,1.9528084789161508
Smart lock,1124,1.8215408550222019
Electric stove,1003,1.625449713155933
Pack n play/Travel crib - available upon request,994,1.6108644216121608
Baby bath,992,1.607623245713545
Bluetooth sound system,988,1.6011408939163128
Changing table,978,1.5849350144232328
Portable air conditioning,976,1.5816938385246166
